practitioner_id,name,profession,division,registration_type,speciality,location,postcode_searched
MED0002066771,Dr Lachlan Kennedy Crowder,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0002066771,Dr Lachlan Kennedy Crowder,Medical Practitioner,,Specialist  Rehabilitation medicine,Rehabilitation medicine,"Sandy Bay, TAS, 7005",7005
MED0001219292,Dr Elena Ruth Jackson,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001219292,Dr Elena Ruth Jackson,Medical Practitioner,,"Specialist  Physician, General medicine","Physician, General medicine","Sandy Bay, TAS, 7005",7005
MED0001219292,Dr Elena Ruth Jackson,Medical Practitioner,,"Specialist  Physician, Endocrinology","Physician, Endocrinology","Sandy Bay, TAS, 7005",7005
MED0001378677,Dr Spencer  Young,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001378677,Dr Spencer  Young,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001378685,Dr Jenelle Maree Cullen,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001378685,Dr Jenelle Maree Cullen,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0000966103,Prof Sankar Nath Sinha,Medical Practitioner,,Non Practising,,"Sandy Bay, TAS, 7005",7005
MED0001651534,Dr Shirley Anne MacIntyre,Medical Practitioner,,Non Practising,,"Sandy Bay, TAS, 7005",7005
MED0000941356,Dr Peter John Flett,Medical Practitioner,,Non Practising,,"Sandy Bay, TAS, 7005",7005
MED0001342752,Dr Brent Lee Mitchell,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001342752,Dr Brent Lee Mitchell,Medical Practitioner,,"Specialist  Physician, Gastroenterology and hepatology","Physician, Gastroenterology and hepatology","Sandy Bay, TAS, 7005",7005
MED0001902915,Dr Julie Meyers Vorenkamp,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001350487,Dr Andrew Peter Jevtic,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001350487,Dr Andrew Peter Jevtic,Medical Practitioner,,Specialist  Dermatology,Dermatology,"Sandy Bay, TAS, 7005",7005
MED0001795555,Dr Damian Francis Talbot,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0000944674,Dr Hannah Ruth Lake,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0000944674,Dr Hannah Ruth Lake,Medical Practitioner,,Specialist  Psychiatry,Psychiatry,"Sandy Bay, TAS, 7005",7005
MED0001347844,Dr Robert Edward White,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001347844,Dr Robert Edward White,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001347919,Dr Robert John Walters,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001347919,Dr Robert John Walters,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001388541,Dr Robin Jonathan Ivan Dubow,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001388541,Dr Robin Jonathan Ivan Dubow,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001811567,Dr Sarah Johanne Till,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0000939791,Dr John William Faulkner,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0000939791,Dr John William Faulkner,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0000939755,Dr Michael Brian Davie,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0000939755,Dr Michael Brian Davie,Medical Practitioner,,Specialist  Psychiatry,Psychiatry,"Sandy Bay, TAS, 7005",7005
MED0001935078,Dr Jiyi  Cheong,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001935078,Dr Jiyi  Cheong,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001371044,Dr Jill  Rogers,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001371044,Dr Jill  Rogers,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001677998,Dr Daniel Edward Gavaghan,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001677998,Dr Daniel Edward Gavaghan,Medical Practitioner,,"Specialist  Physician, General medicine","Physician, General medicine","Sandy Bay, TAS, 7005",7005
MED0000938979,Dr Cornelius O'Malley O'Neill,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001131265,Dr Zoe Weizhi Gao,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001131265,Dr Zoe Weizhi Gao,Medical Practitioner,,Specialist  Ophthalmology,Ophthalmology,"Sandy Bay, TAS, 7005",7005
MED0001808638,Dr Alessandra Michaela Kraft,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001808638,Dr Alessandra Michaela Kraft,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001171457,Dr Jerzy  Tarnawski,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001171457,Dr Jerzy  Tarnawski,Medical Practitioner,,Specialist  General practice,General practice,"Sandy Bay, TAS, 7005",7005
MED0001355397,Dr Peter Julian Sayers,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
MED0001355397,Dr Peter Julian Sayers,Medical Practitioner,,Specialist  Anaesthesia,Anaesthesia,"Sandy Bay, TAS, 7005",7005
MED0001385161,Dr Penelope Jane Keble-Williams,Medical Practitioner,,Non Practising,,"Sandy Bay, TAS, 7005",7005
MED0001371822,Dr Timothy Chester Stewart,Medical Practitioner,,General,,"Sandy Bay, TAS, 7005",7005
